Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
92,AFR::MWI::Central::Kasungu,2017-11-20,2018-01-14,0,1,,0.0,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 0 deaths",JHU
93,AFR::MWI::Central::Dowa,2017-11-20,2018-01-14,0,4,,0.0,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 4 cases, 0 deaths",JHU
94,AFR::MWI::Central::Salima,2017-11-20,2018-01-14,0,9,,0.0,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 9 cases, 0 deaths",JHU
95,AFR::MWI::Central::Lilongwe,2017-11-20,2018-01-14,0,35,,0.0,2018-01-14,15,WHO AFRO Surveillance Report (UID: 20777),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 35 cases, 0 deaths",JHU
96,AFR::MWI::Southern::Nsanje,1988-03-15,1988-03-15,,15,,,1988-03-15,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 15 cases",JHU
97,AFR::MWI::Southern::Nsanje,1988-03-16,1988-03-16,,17,,,1988-03-16,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 17 cases",JHU
98,AFR::MWI::Southern::Nsanje,1988-03-17,1988-03-17,1,17,,5.9,1988-03-17,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 17 cases, 1 deaths",JHU
99,AFR::MWI::Southern::Nsanje,1988-03-18,1988-03-18,3,34,,8.8,1988-03-18,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 34 cases, 3 deaths",JHU
100,AFR::MWI::Southern::Nsanje,1988-03-19,1988-03-19,4,26,,15.4,1988-03-19,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 26 cases, 4 deaths",JHU
101,AFR::MWI::Southern::Nsanje,1988-03-20,1988-03-20,1,36,,2.8,1988-03-20,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 36 cases, 1 deaths",JHU
102,AFR::MWI::Southern::Nsanje,1988-03-21,1988-03-21,,22,,,1988-03-21,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 22 cases",JHU
103,AFR::MWI::Southern::Nsanje,1988-03-22,1988-03-22,,29,,,1988-03-22,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 29 cases",JHU
104,AFR::MWI::Southern::Nsanje,1988-03-23,1988-03-23,,34,,,1988-03-23,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 34 cases",JHU
105,AFR::MWI::Southern::Nsanje,1988-03-24,1988-03-24,4,31,,12.9,1988-03-24,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases, 4 deaths",JHU
106,AFR::MWI::Southern::Nsanje,1988-03-25,1988-03-25,1,30,,3.3,1988-03-25,8,JHU Cholera Database (UID: 15690),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 30 cases, 1 deaths",JHU
